,result,eco,move_no,avg_rating
418,1,223,7,1285
419,-1,320,44,1477
420,-1,250,46,1541
421,1,300,91,1491
422,-1,247,48,1334
423,-1,132,68,1552
424,1,220,57,1823
425,-1,302,92,1185
426,-1,107,58,1595
427,-1,40,50,1503
428,-1,101,18,1444
429,1,243,19,1172
430,0,244,117,1162
431,-1,241,78,1391
432,1,120,57,1575
433,1,144,51,1538
434,-1,255,46,1471
435,-1,115,56,1580
436,-1,245,124,1533
437,-1,244,96,1304
438,-1,242,56,1354
439,1,101,81,1627
440,-1,150,76,1364
441,-1,110,66,1483
442,1,101,89,1492
443,1,255,111,1472
444,-1,240,66,1631
445,-1,0,132,1249
446,-1,100,96,1574
447,1,202,55,1655
448,1,41,75,1500
449,1,306,55,1806
450,1,250,63,1517
451,-1,110,54,1578
452,-1,140,42,1671
453,1,241,69,1601
454,-1,223,68,1403
455,-1,112,76,1697
456,1,242,59,1265
457,-1,244,96,1335
458,-1,222,68,1466
459,1,300,67,1524
460,1,255,65,1498
461,-1,242,70,1774
462,-1,100,128,1638
463,-1,130,66,1551
464,1,220,13,1356
465,-1,246,38,1660
466,1,100,15,1729
467,1,244,33,1385
468,-1,420,46,1494
469,-1,210,56,1514
470,1,0,63,1587
471,1,240,101,1524
472,-1,223,40,1483
473,1,21,47,1436
474,-1,102,148,1584
475,1,106,67,1495
476,1,4,69,1620
477,1,201,29,1837
478,1,240,75,1311
479,1,40,67,1657
480,-1,0,34,1838
481,1,241,49,1427
482,-1,0,96,1537
483,1,101,61,1247
484,1,244,77,1314
485,-1,222,70,1482
486,-1,101,42,1695
487,1,4,67,1694
488,1,241,49,1527
489,1,220,53,1607
490,0,202,84,1424
491,-1,300,70,1314
492,1,223,57,1637
493,1,2,55,1674
494,1,0,103,1498
495,1,100,57,1723
496,-1,200,62,1375
497,-1,221,70,1369
498,1,231,113,1485
499,-1,0,78,1726
500,1,241,121,1410
501,1,121,109,1599
502,1,13,53,1499
503,-1,241,66,1331
504,1,310,59,1559
505,-1,220,70,1463
506,1,220,61,1611
507,1,40,79,1592
508,1,101,121,1527
509,1,320,39,1601
510,-1,101,72,1504
511,0,101,109,1528
512,-1,40,46,1563
513,1,240,85,1560
514,1,0,85,1373
515,1,120,85,1625
516,1,241,143,1524
517,1,220,43,1504
518,1,40,103,1683
519,-1,241,120,1544
520,-1,120,110,1530
521,-1,10,62,1525
522,-1,220,64,1306
523,-1,257,56,1414
524,1,320,21,1380
525,-1,43,38,1378
526,1,250,33,1483
527,-1,107,64,1207
528,-1,242,102,1608
529,-1,200,100,1355
530,-1,221,74,1712
531,1,100,127,1712
532,1,202,33,1454
533,0,100,107,1350
534,-1,300,68,1503
535,1,300,77,1501
536,1,120,61,1423
537,-1,101,112,1938
538,1,200,53,1421
539,-1,244,80,1625
540,-1,234,60,1420
541,1,246,19,1479
542,-1,223,44,1584
543,-1,200,70,1605
544,-1,200,42,1338
545,1,246,45,1455
546,1,4,43,1535
547,-1,257,56,1349
548,1,200,21,1335
549,0,200,147,1673
550,1,40,65,1443
551,-1,120,60,1423
552,1,224,145,1697
553,1,320,15,1500
554,1,0,43,1536
555,-1,200,62,1325
556,-1,420,48,1603
557,-1,0,58,1520
558,1,153,57,1349
559,1,101,59,1423
560,1,100,17,1481
561,-1,106,34,1344
562,-1,220,62,1423
563,-1,226,134,1538
564,-1,302,64,1571
565,1,150,61,1733
566,-1,262,140,1745
567,-1,0,48,1545
568,-1,257,106,1729
569,1,241,13,1465
570,-1,45,26,1515
571,1,101,35,1462
572,1,300,77,1626
573,1,112,131,1737
574,1,302,73,1561
575,1,228,29,1455
576,-1,320,44,1402
577,1,224,51,1488
578,1,300,53,1663
579,-1,277,44,1736
580,-1,221,68,1398
581,1,120,11,1359
582,1,123,69,1374
583,-1,220,58,1414
584,1,100,75,1661
585,-1,240,46,1762
586,1,45,93,1634
587,-1,50,62,1650
588,1,100,55,1392
589,-1,255,60,1386
590,1,236,47,1670
591,1,241,47,1702
592,-1,302,72,1738
593,-1,0,70,1510
594,-1,264,40,1596
595,1,40,69,1449
596,1,264,23,1716
597,1,234,45,1542
598,-1,260,124,1594
599,-1,202,140,1638
600,1,101,37,1502
601,-1,300,76,1782
602,-1,0,64,1491
603,1,257,17,1622
604,-1,100,100,1563
605,-1,0,90,1448
606,1,220,49,1755
607,1,266,71,1737
608,1,250,81,1509
609,-1,220,62,1612
610,-1,130,106,1803
611,1,250,133,1481
612,1,241,69,1555
613,-1,310,82,1581
614,1,240,117,1396
615,1,200,63,1625
616,-1,41,44,1723
617,-1,40,92,1516
618,-1,255,40,1564
619,-1,306,52,1500
620,1,101,41,1237
621,1,220,71,1519
622,1,101,43,1886
623,-1,202,90,1564
624,1,224,31,1567
625,-1,305,44,1514
626,1,220,95,1345
627,-1,220,50,1361
628,1,40,113,1949
629,1,0,93,1598
630,-1,0,74,1415
631,1,202,59,1512
632,-1,300,56,1871
633,1,43,69,1704
634,1,120,65,1348
635,1,234,121,1409
636,1,330,73,1615
637,1,120,33,1129
638,-1,200,98,1268
639,-1,120,62,1790
640,1,107,61,1503
641,-1,260,62,1433
642,-1,200,70,1636
643,1,240,103,1416
644,-1,200,112,1297
645,1,242,61,1255
646,1,260,61,1536
647,-1,300,46,1436
648,-1,102,90,1765
